chrf,comet_seg,difficulty_bin,difficulty_score,id,langpair,src_lang,tgt_lang
68.67135652907275,0.8460522294044495,(0.861 - 0.929],0.8912068449420368,test-en-news_beverly_press.3585:1:en-de,en-de,en,de
56.100970401020646,0.6378592252731323,(0.929 - 1.0],0.9345735561673341,test-en-news_beverly_press.3585:2:en-de,en-de,en,de
63.59652581160299,0.6783702969551086,(0.861 - 0.929],0.8938086797477989,test-en-news_beverly_press.3585:3:en-de,en-de,en,de
60.49368140943291,0.60671067237854,(0.0 - 0.861],0.775078988074143,test-en-news_beverly_press.3585:4:en-de,en-de,en,de
67.17332965729508,0.8756963610649109,(0.929 - 1.0],0.9502909162196931,test-en-news_beverly_press.3585:5:en-de,en-de,en,de
40.3505057659499,0.7560782432556152,(0.929 - 1.0],0.9590196758076348,test-en-news_brisbanetimes.com.au.228963:6:en-de,en-de,en,de
45.35611210008455,0.42727771401405334,(0.0 - 0.861],0.8095313234377716,test-en-news_brisbanetimes.com.au.228963:7:en-de,en-de,en,de
44.443475553388474,0.5769902467727661,(0.861 - 0.929],0.8807070770331982,test-en-news_brisbanetimes.com.au.228963:8:en-de,en-de,en,de
51.681539025173564,0.7676855325698853,(0.861 - 0.929],0.9116599467338824,test-en-news_brisbanetimes.com.au.228963:9:en-de,en-de,en,de
43.35676791575682,0.8096891045570374,(0.929 - 1.0],0.9643147843846392,test-en-news_brisbanetimes.com.au.228963:10:en-de,en-de,en,de
42.91838912263999,0.7663370370864868,(0.929 - 1.0],0.9865887372318736,test-en-news_csmonitor.com.7750:11:en-de,en-de,en,de
56.59899547433618,0.6317654848098755,(0.929 - 1.0],0.9824305130310004,test-en-news_csmonitor.com.7750:12:en-de,en-de,en,de
64.08190106997421,0.8406952023506165,(0.929 - 1.0],0.958572727907827,test-en-news_csmonitor.com.7750:13:en-de,en-de,en,de
50.98697621851874,0.6759248375892639,(0.861 - 0.929],0.9150627905143862,test-en-news_csmonitor.com.7750:14:en-de,en-de,en,de
54.821010374621814,0.6163880825042725,(0.861 - 0.929],0.8850466858414543,test-en-news_csmonitor.com.7750:15:en-de,en-de,en,de
51.84535472199464,0.44335106015205383,(0.861 - 0.929],0.9280835089486523,test-en-news_csmonitor.com.7750:16:en-de,en-de,en,de
20.116474233206716,0.2153862863779068,(0.861 - 0.929],0.927370056997538,test-en-news_csmonitor.com.7750:17:en-de,en-de,en,de
52.288336320791885,0.5861637592315674,(0.861 - 0.929],0.9251015341126445,test-en-news_csmonitor.com.7750:18:en-de,en-de,en,de
72.23971192581077,0.9421325922012329,(0.929 - 1.0],0.9851361495630081,test-en-news_csmonitor.com.7750:19:en-de,en-de,en,de
42.432670198940286,0.4285130202770233,(0.929 - 1.0],0.9781716800884864,test-en-news_economist.14223:20:en-de,en-de,en,de
51.66916616420203,0.513482928276062,(0.0 - 0.861],0.8211564732842244,test-en-news_economist.14223:21:en-de,en-de,en,de
60.056402606541916,0.5869757533073425,(0.861 - 0.929],0.8862972551579537,test-en-news_economist.14223:22:en-de,en-de,en,de
25.87830995797012,0.2194916307926178,(0.0 - 0.861],0.8043291471498252,test-en-news_economist.14223:23:en-de,en-de,en,de
49.19255815136251,0.41120854020118713,(0.861 - 0.929],0.87283516343227,test-en-news_economist.14223:24:en-de,en-de,en,de
40.25920395666237,0.295392781496048,(0.0 - 0.861],0.7761779343374642,test-en-news_economist.14223:25:en-de,en-de,en,de
16.830670618165893,0.3064248263835907,(0.861 - 0.929],0.8988672346789267,test-en-news_euronews-en.43091:26:en-de,en-de,en,de
30.721754695914715,0.2648121416568756,(0.861 - 0.929],0.9182605453614907,test-en-news_euronews-en.43091:27:en-de,en-de,en,de
37.58393873272807,0.42437487840652466,(0.861 - 0.929],0.9074680790369516,test-en-news_euronews-en.43091:28:en-de,en-de,en,de
62.49909641715655,0.7798439860343933,(0.929 - 1.0],0.9348516151158311,test-en-news_euronews-en.43091:29:en-de,en-de,en,de
40.97238134054849,0.6739965081214905,(0.929 - 1.0],0.9546111887608285,test-en-news_euronews-en.43091:30:en-de,en-de,en,de
52.858491084683756,0.6557317972183228,(0.861 - 0.929],0.9111923650890912,test-en-news_euronews-en.43091:31:en-de,en-de,en,de
42.61561789937895,0.4887572228908539,(0.929 - 1.0],0.9511409845460664,test-en-news_euronews-en.43091:32:en-de,en-de,en,de
51.11034722765632,0.5820562243461609,(0.861 - 0.929],0.9256244561609299,test-en-news_euronews-en.43091:33:en-de,en-de,en,de
45.875431555269984,0.5055564641952515,(0.929 - 1.0],0.9436261186672273,test-en-news_euronews-en.43091:34:en-de,en-de,en,de
53.716924078272854,0.6254687905311584,(0.861 - 0.929],0.9256602399708739,test-en-news_euronews-en.43091:35:en-de,en-de,en,de
67.1862743809044,0.8459529280662537,(0.861 - 0.929],0.9157592598442058,test-en-news_euronews-en.43091:36:en-de,en-de,en,de
52.591340248664,0.6665497422218323,(0.861 - 0.929],0.8820929372691346,test-en-news_euronews-en.43091:37:en-de,en-de,en,de
46.00759649875779,0.3939627707004547,(0.861 - 0.929],0.8920299250294209,test-en-news_euronews-en.43091:38:en-de,en-de,en,de
67.18657842179967,0.8996533155441284,(0.861 - 0.929],0.9074320574143536,test-en-news_newsrepublic.com.6817:39:en-de,en-de,en,de
